%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1675854939857845783,0,2.594297581550978,2.2543470843701545,1.471439002539779,1.552098711650915,5.0938806294714,9.009593187318256,2.719182185525483,1.2946558095368867
1675854939857906579,0,2.5967698601629623,2.2515981616329643,1.464884110594894,1.5562034030595238,5.0973810617846596,9.02055487478263,2.7152900240725644,1.3037072117205368
1675854939857963562,0,2.611480779730582,2.248742456663316,1.4631964971338351,1.5679685097121068,5.103877421275629,9.04032062296878,2.710319261674593,1.3210362158993
1675854939858019590,0,2.633991344949583,2.244712397356949,1.4627431478972515,1.58324652307227,5.107457911560801,9.047071309648079,2.711081509612448,1.3220192906873909
1675854939858088493,0,2.6372897596680396,2.245961154278785,1.4613907992583826,1.5802489038628937,5.11156723195266,9.049854622900808,2.7111441860212033,1.3224314197578475
1675854939858154535,0,2.6329426422265576,2.2462723835217937,1.4616470459790811,1.566093735430241,5.113722874342656,9.050889924860561,2.7123284744369887,1.324277732525462
1675854939858217954,0,2.6283541359067377,2.24583344635355,1.460227692929678,1.5653399704405981,5.114178055060483,9.050997152660788,2.7134231109164575,1.322499591620082
1675854939858275175,0,2.625267872847835,2.2459860722517857,1.464257250686685,1.5740978242531831,5.120160832902044,9.058890392936103,2.7201567720000894,1.3220080249660506
1675854939858331680,0,2.6348765476395672,2.2452097393991926,1.4608951005807023,1.5810685001335556,5.124987233714613,9.064893298948824,2.722541119027799,1.3196287495858843
1675854939871009588,0,2.6378831411865273,2.244570520989455,1.460322185913967,1.578578730106489,5.125346738516232,9.063738143876233,2.7211397945516786,1.321408702379566
1675854939872210502,0,2.638187482561961,2.2446348288326607,1.465882304194608,1.571160355488295,5.125372189626742,9.063154348592644,2.727541102586857,1.3195376566929238
1675854939874051332,0,2.6403366450692074,2.247410920783228,1.48444749984984,1.5658154712858579,5.1255449095745895,9.063290207019389,2.7281785494240185,1.3227636182059284
1675854939874286413,0,2.6377149449583377,2.244116474332197,1.482772987697029,1.5653600176170854,5.126145676170214,9.061926369272873,2.728050155793159,1.324978134718649
1675854939874357461,0,2.6351075335603786,2.24714266063765,1.483026847845184,1.5480920065674275,5.127474845292116,9.062935590446743,2.7286013919842795,1.3283228048907603
1675854939874428749,0,2.6319940613377906,2.2472194836887818,1.483662849318999,1.5525340668163121,5.128911347977485,9.06414070215811,2.732297818132809,1.3291815961066349
1675854939874544382,0,2.6372312140045953,2.2398732129803602,1.480854316500469,1.5566515939961605,5.128911068135475,9.063793928667838,2.7324767138976673,1.3309834269294676
1675854939874673843,0,2.6409749383691783,2.226964259461282,1.4818291383767497,1.5802389266520043,5.129280982566597,9.063945473134122,2.734349077067178,1.3339696460315702
1675854939876661777,0,2.6585643100218324,2.2225811243666054,1.4889965910395955,1.5933339166053093,5.1288462513835755,9.062532436044274,2.7349843188672067,1.3354587590711313
1675854939876754283,0,2.6576398183084806,2.2114371959238985,1.4781805122679699,1.6003185441057148,5.127122247924628,9.05976175265084,2.735667525796737,1.3364511054966715
1675854939876909732,0,2.6687650667194105,2.2067113067932946,1.4683209413549265,1.6087688070699917,5.129329217534731,9.06117399898856,2.7356574295647,1.3391994773648905
1675854939876976728,0,2.677847312571543,2.2098846731611244,1.4683630529769451,1.608799230921644,5.1288803439524076,9.060988840344153,2.736528149971749,1.3346931700253324
1675854939877053022,0,2.677761376636303,2.211841303123023,1.4699175490398908,1.6108877827241752,5.132527427325272,9.060896113949402,2.735609472398423,1.3338575424954175
1675854939877127408,0,2.6367227262262554,2.159235652493159,1.4646803132194561,1.6111441271351103,5.1358101875637345,9.056780473882178,2.7351471067917883,1.341350560580158
1675854939877201318,0,2.6368721930795807,2.1584316571275686,1.4635932046403062,1.6017126667484467,5.136039848959718,9.056766257862549,2.7351875479709147,1.3423917216366652
